paper_id,sourceDataRow,main_observation_id,detailed_observation_id,metric,setting,matching_rate,title,definition,decision,title_definition_scope_evidence,evidence
S1665,241,241:incidence:overall:main,241:incidence:overall:injuryTissueType_injury_diagnosis_incidence,incidence,overall,1.83,Incidence and intrinsic risk factors of hamstring strain injuries among Malaysian footballers: a cohort study of 81 professional footballers,time loss [hamstring strain injury; posterior thigh strained muscle],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S1665,241,241:incidence:overall:main,241:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,1.83,Incidence and intrinsic risk factors of hamstring strain injuries among Malaysian footballers: a cohort study of 81 professional footballers,time loss [hamstring strain injury; posterior thigh strained muscle],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S1665,242,242:incidence:overall:main,242:incidence:overall:injuryLocation_thigh_incidence,incidence,overall,0,Incidence and intrinsic risk factors of hamstring strain injuries among Malaysian footballers: a cohort study of 81 professional footballers,time loss [hamstring strain injury; posterior thigh strained muscle],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S1665,242,242:incidence:overall:main,242:incidence:overall:injuryTissueType_injury_diagnosis_incidence,incidence,overall,0,Incidence and intrinsic risk factors of hamstring strain injuries among Malaysian footballers: a cohort study of 81 professional footballers,time loss [hamstring strain injury; posterior thigh strained muscle],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S1665,242,242:incidence:overall:main,242:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,0,Incidence and intrinsic risk factors of hamstring strain injuries among Malaysian footballers: a cohort study of 81 professional footballers,time loss [hamstring strain injury; posterior thigh strained muscle],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S1665,243,243:incidence:overall:main,243:incidence:overall:injuryLocation_thigh_incidence,incidence,overall,0,Incidence and intrinsic risk factors of hamstring strain injuries among Malaysian footballers: a cohort study of 81 professional footballers,time loss [hamstring strain injury; posterior thigh strained muscle],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S1665,243,243:incidence:overall:main,243:incidence:overall:injuryTissueType_injury_diagnosis_incidence,incidence,overall,0,Incidence and intrinsic risk factors of hamstring strain injuries among Malaysian footballers: a cohort study of 81 professional footballers,time loss [hamstring strain injury; posterior thigh strained muscle],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S1665,243,243:incidence:overall:main,243:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,0,Incidence and intrinsic risk factors of hamstring strain injuries among Malaysian footballers: a cohort study of 81 professional footballers,time loss [hamstring strain injury; posterior thigh strained muscle],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S1941,270,270:incidence:overall:main,270:incidence:overall:injuryLocation_thigh_incidence,incidence,overall,7.8,The Protective Effect of Preseason Running Workload Against In-Season Hamstring Strain Injuries in Elite Soccer Players.,Time-loss (HSI- noncontact),restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S1941,270,270:incidence:overall:main,270:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,7.8,The Protective Effect of Preseason Running Workload Against In-Season Hamstring Strain Injuries in Elite Soccer Players.,Time-loss (HSI- noncontact),title/definition does not verify the detailed time-loss scope; hold both representations pending source clarification,not_matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S2040,288,288:incidence:overall:main,288:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,5.15,Higher Incidence and Longer Recovery Time from Non-Contact Muscle Injuries in ACTN3 XX Genotype Players from a Soccer Academy: A Three-Season Longitudinal Study.,time loss [non-contact lower-limb muscle injuries only],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S2040,289,289:incidence:overall:main,289:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,6.65,Higher Incidence and Longer Recovery Time from Non-Contact Muscle Injuries in ACTN3 XX Genotype Players from a Soccer Academy: A Three-Season Longitudinal Study.,time loss [non-contact lower-limb muscle injuries only],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S2040,290,290:incidence:overall:main,290:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,8.54,Higher Incidence and Longer Recovery Time from Non-Contact Muscle Injuries in ACTN3 XX Genotype Players from a Soccer Academy: A Three-Season Longitudinal Study.,time loss [non-contact lower-limb muscle injuries only],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S2040,292,292:incidence:overall:main,292:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,5.3,Higher Incidence and Longer Recovery Time from Non-Contact Muscle Injuries in ACTN3 XX Genotype Players from a Soccer Academy: A Three-Season Longitudinal Study.,time loss [non-contact lower-limb muscle injuries only],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S2040,293,293:incidence:overall:main,293:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,6.22,Higher Incidence and Longer Recovery Time from Non-Contact Muscle Injuries in ACTN3 XX Genotype Players from a Soccer Academy: A Three-Season Longitudinal Study.,time loss [non-contact lower-limb muscle injuries only],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S2040,294,294:incidence:overall:main,294:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,7,Higher Incidence and Longer Recovery Time from Non-Contact Muscle Injuries in ACTN3 XX Genotype Players from a Soccer Academy: A Three-Season Longitudinal Study.,time loss [non-contact lower-limb muscle injuries only],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S2040,296,296:incidence:overall:main,296:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,5.29,Higher Incidence and Longer Recovery Time from Non-Contact Muscle Injuries in ACTN3 XX Genotype Players from a Soccer Academy: A Three-Season Longitudinal Study.,time loss [non-contact lower-limb muscle injuries only],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S2040,297,297:incidence:overall:main,297:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,5.67,Higher Incidence and Longer Recovery Time from Non-Contact Muscle Injuries in ACTN3 XX Genotype Players from a Soccer Academy: A Three-Season Longitudinal Study.,time loss [non-contact lower-limb muscle injuries only],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S2040,298,298:incidence:overall:main,298:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,10.43,Higher Incidence and Longer Recovery Time from Non-Contact Muscle Injuries in ACTN3 XX Genotype Players from a Soccer Academy: A Three-Season Longitudinal Study.,time loss [non-contact lower-limb muscle injuries only],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S2040,300,300:incidence:overall:main,300:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,4.94,Higher Incidence and Longer Recovery Time from Non-Contact Muscle Injuries in ACTN3 XX Genotype Players from a Soccer Academy: A Three-Season Longitudinal Study.,time loss [non-contact lower-limb muscle injuries only],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S2040,301,301:incidence:overall:main,301:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,7.88,Higher Incidence and Longer Recovery Time from Non-Contact Muscle Injuries in ACTN3 XX Genotype Players from a Soccer Academy: A Three-Season Longitudinal Study.,time loss [non-contact lower-limb muscle injuries only],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S2040,302,302:incidence:overall:main,302:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,5.67,Higher Incidence and Longer Recovery Time from Non-Contact Muscle Injuries in ACTN3 XX Genotype Players from a Soccer Academy: A Three-Season Longitudinal Study.,time loss [non-contact lower-limb muscle injuries only],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S2824,490,490:incidence:overall:main,490:incidence:overall:injuryLocation_groin_incidence,incidence,overall,1,Evolution of injury burden in Qatari professional football — 8 season data from the Aspetar Injury and Illness Surveillance Programme.,time loss [groin injury only],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S2824,490,490:incidence:overall:main,490:incidence:overall:injuryTissueType_injury_diagnosis_incidence,incidence,overall,1,Evolution of injury burden in Qatari professional football — 8 season data from the Aspetar Injury and Illness Surveillance Programme.,time loss [groin injury only],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S2824,491,491:incidence:overall:main,491:incidence:overall:injuryLocation_knee_incidence,incidence,overall,0.076,Evolution of injury burden in Qatari professional football — 8 season data from the Aspetar Injury and Illness Surveillance Programme.,time loss [complete ACL rupture confirmed by MRI],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S2824,491,491:incidence:overall:main,491:incidence:overall:injuryTissueType_injury_diagnosis_incidence,incidence,overall,0.076,Evolution of injury burden in Qatari professional football — 8 season data from the Aspetar Injury and Illness Surveillance Programme.,time loss [complete ACL rupture confirmed by MRI],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S2824,492,492:incidence:overall:main,492:incidence:overall:injuryLocation_head_neck_overall_incidence,incidence,overall,0.12,Evolution of injury burden in Qatari professional football — 8 season data from the Aspetar Injury and Illness Surveillance Programme.,time loss [head and neck injuries only],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S336,562,562:incidence:overall:main,562:incidence:overall:injuryLocation_ankle_incidence,incidence,overall,3.25,Ankle Sprain Injuries and Risk Factors in Amateur Soccer Players During a 2-Year Period,time-loss,restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S374,596,596:incidence:overall:main,596:incidence:overall:injuryLocation_lower_limb_overall_incidence,incidence,overall,11.14,Lower limb injuries in an english professional football club: injury analysis and recommendations for prevention,time-loss,restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S380,606,606:incidence:overall:main,606:incidence:overall:injuryLocation_lower_limb_overall_incidence,incidence,overall,2.36,Muscle injuries in the academy of a Spanish professional football club: A one-year prospective study,time-loss,title/definition does not verify the detailed time-loss scope; hold both representations pending source clarification,not_matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S380,606,606:incidence:overall:main,606:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,2.36,Muscle injuries in the academy of a Spanish professional football club: A one-year prospective study,time-loss,restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S380,607,607:incidence:overall:main,607:incidence:overall:injuryLocation_lower_limb_overall_incidence,incidence,overall,1.41,Muscle injuries in the academy of a Spanish professional football club: A one-year prospective study,time-loss,title/definition does not verify the detailed time-loss scope; hold both representations pending source clarification,not_matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S380,607,607:incidence:overall:main,607:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,1.41,Muscle injuries in the academy of a Spanish professional football club: A one-year prospective study,time-loss,restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S380,608,608:incidence:overall:main,608:incidence:overall:injuryLocation_lower_limb_overall_incidence,incidence,overall,1.28,Muscle injuries in the academy of a Spanish professional football club: A one-year prospective study,time-loss,title/definition does not verify the detailed time-loss scope; hold both representations pending source clarification,not_matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S380,608,608:incidence:overall:main,608:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,1.28,Muscle injuries in the academy of a Spanish professional football club: A one-year prospective study,time-loss,restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S380,609,609:incidence:overall:main,609:incidence:overall:injuryLocation_lower_limb_overall_incidence,incidence,overall,0.91,Muscle injuries in the academy of a Spanish professional football club: A one-year prospective study,time-loss,title/definition does not verify the detailed time-loss scope; hold both representations pending source clarification,not_matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S380,609,609:incidence:overall:main,609:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,0.91,Muscle injuries in the academy of a Spanish professional football club: A one-year prospective study,time-loss,restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S3931,636,636:incidence:overall:main,636:incidence:overall:injuryLocation_thigh_incidence,incidence,overall,0,Comparison of Two Posterior Chain Strength Training Protocols on Performance and Injury Incidence in Elite Youth Football Players.,time loss [hamstring),restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S3931,636,636:incidence:overall:main,636:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,0,Comparison of Two Posterior Chain Strength Training Protocols on Performance and Injury Incidence in Elite Youth Football Players.,time loss [hamstring),title/definition does not verify the detailed time-loss scope; hold both representations pending source clarification,not_matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S3931,637,637:incidence:overall:main,637:incidence:overall:injuryLocation_thigh_incidence,incidence,overall,1.2,Comparison of Two Posterior Chain Strength Training Protocols on Performance and Injury Incidence in Elite Youth Football Players.,time loss [hamstring),restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S3931,637,637:incidence:overall:main,637:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,1.2,Comparison of Two Posterior Chain Strength Training Protocols on Performance and Injury Incidence in Elite Youth Football Players.,time loss [hamstring),title/definition does not verify the detailed time-loss scope; hold both representations pending source clarification,not_matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S3944,660,660:incidence:overall:main,660:incidence:overall:injuryTissueType_physis_incidence,incidence,overall,0.15,"Distal-to-proximal progression of apophyseal injuries with age in male youth academy footballers: a two-season prospective cohort study of 16,024 player-seasons.",time loss,restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S3944,661,661:incidence:overall:main,661:incidence:overall:injuryTissueType_physis_incidence,incidence,overall,0.42,"Distal-to-proximal progression of apophyseal injuries with age in male youth academy footballers: a two-season prospective cohort study of 16,024 player-seasons.",time loss,restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S3944,662,662:incidence:overall:main,662:incidence:overall:injuryTissueType_physis_incidence,incidence,overall,0.38,"Distal-to-proximal progression of apophyseal injuries with age in male youth academy footballers: a two-season prospective cohort study of 16,024 player-seasons.",time loss,restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S3944,663,663:incidence:overall:main,663:incidence:overall:injuryTissueType_physis_incidence,incidence,overall,0.1,"Distal-to-proximal progression of apophyseal injuries with age in male youth academy footballers: a two-season prospective cohort study of 16,024 player-seasons.",time loss,restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S405,685,685:incidence:overall:main,685:incidence:overall:injuryLocation_lower_limb_overall_incidence,incidence,overall,9.03,"Injury incidence, characteristics and burden among female sub-elite futsal players: a prospective study with three-year follow-up.",time-loss,title/definition does not verify the detailed time-loss scope; hold both representations pending source clarification,not_matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S409,694,694:incidence:overall:main,694:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,3.62,Muscle injury characteristics and incidence rates in men's amateur soccer: A one season prospective study.,time-loss - muscle specific,restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S475,820,820:incidence:overall:main,820:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,1.81,Short and Long-Term Effects of a Simple-Strength-Training Program on Injuries Among Elite U-19 Soccer Players,time-loss - muscle,restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S475,821,821:incidence:overall:main,821:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,2.31,Short and Long-Term Effects of a Simple-Strength-Training Program on Injuries Among Elite U-19 Soccer Players,time-loss - muscle,restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S475,822,822:incidence:overall:main,822:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,1.33,Short and Long-Term Effects of a Simple-Strength-Training Program on Injuries Among Elite U-19 Soccer Players,time-loss - muscle,restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S4800,849,849:incidence:overall:main,849:incidence:overall:injuryLocation_thigh_incidence,incidence,overall,0.6,Incidence of Hamstring Injury and Analysis of Risk Factors for Reinjury in Japanese Professional Football Players.,time loss [MRI-confirmed hamstring injury causing ≥4 days' absence from team training],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S4800,849,849:incidence:overall:main,849:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,0.6,Incidence of Hamstring Injury and Analysis of Risk Factors for Reinjury in Japanese Professional Football Players.,time loss [MRI-confirmed hamstring injury causing ≥4 days' absence from team training],title/definition does not verify the detailed time-loss scope; hold both representations pending source clarification,not_matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S4800,849,849:incidence:overall:main,849:incidence:overall:injuryTissueType_muscle_tendon_incidence,incidence,overall,0.6,Incidence of Hamstring Injury and Analysis of Risk Factors for Reinjury in Japanese Professional Football Players.,time loss [MRI-confirmed hamstring injury causing ≥4 days' absence from team training],title/definition does not verify the detailed time-loss scope; hold both representations pending source clarification,not_matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S4800,850,850:incidence:overall:main,850:incidence:overall:injuryLocation_thigh_incidence,incidence,overall,0.49,Incidence of Hamstring Injury and Analysis of Risk Factors for Reinjury in Japanese Professional Football Players.,time loss [MRI-confirmed hamstring injury causing ≥4 days' absence from team training],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S4800,850,850:incidence:overall:main,850:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,0.49,Incidence of Hamstring Injury and Analysis of Risk Factors for Reinjury in Japanese Professional Football Players.,time loss [MRI-confirmed hamstring injury causing ≥4 days' absence from team training],title/definition does not verify the detailed time-loss scope; hold both representations pending source clarification,not_matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S4800,850,850:incidence:overall:main,850:incidence:overall:injuryTissueType_muscle_tendon_incidence,incidence,overall,0.49,Incidence of Hamstring Injury and Analysis of Risk Factors for Reinjury in Japanese Professional Football Players.,time loss [MRI-confirmed hamstring injury causing ≥4 days' absence from team training],title/definition does not verify the detailed time-loss scope; hold both representations pending source clarification,not_matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S4800,851,851:incidence:overall:main,851:incidence:overall:injuryLocation_thigh_incidence,incidence,overall,0.58,Incidence of Hamstring Injury and Analysis of Risk Factors for Reinjury in Japanese Professional Football Players.,time loss [MRI-confirmed hamstring injury causing ≥4 days' absence from team training],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S4800,851,851:incidence:overall:main,851:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,0.58,Incidence of Hamstring Injury and Analysis of Risk Factors for Reinjury in Japanese Professional Football Players.,time loss [MRI-confirmed hamstring injury causing ≥4 days' absence from team training],title/definition does not verify the detailed time-loss scope; hold both representations pending source clarification,not_matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S4800,851,851:incidence:overall:main,851:incidence:overall:injuryTissueType_muscle_tendon_incidence,incidence,overall,0.58,Incidence of Hamstring Injury and Analysis of Risk Factors for Reinjury in Japanese Professional Football Players.,time loss [MRI-confirmed hamstring injury causing ≥4 days' absence from team training],title/definition does not verify the detailed time-loss scope; hold both representations pending source clarification,not_matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S4800,852,852:incidence:overall:main,852:incidence:overall:injuryLocation_thigh_incidence,incidence,overall,0.37,Incidence of Hamstring Injury and Analysis of Risk Factors for Reinjury in Japanese Professional Football Players.,time loss [MRI-confirmed hamstring injury causing ≥4 days' absence from team training],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S4800,852,852:incidence:overall:main,852:incidence:overall:injuryTissueType_muscle_injury_incidence,incidence,overall,0.37,Incidence of Hamstring Injury and Analysis of Risk Factors for Reinjury in Japanese Professional Football Players.,time loss [MRI-confirmed hamstring injury causing ≥4 days' absence from team training],title/definition does not verify the detailed time-loss scope; hold both representations pending source clarification,not_matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S4800,852,852:incidence:overall:main,852:incidence:overall:injuryTissueType_muscle_tendon_incidence,incidence,overall,0.37,Incidence of Hamstring Injury and Analysis of Risk Factors for Reinjury in Japanese Professional Football Players.,time loss [MRI-confirmed hamstring injury causing ≥4 days' absence from team training],title/definition does not verify the detailed time-loss scope; hold both representations pending source clarification,not_matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
S4800,853,853:incidence:overall:main,853:incidence:overall:injuryLocation_thigh_incidence,incidence,overall,0.8,Incidence of Hamstring Injury and Analysis of Risk Factors for Reinjury in Japanese Professional Football Players.,time loss [MRI-confirmed hamstring injury causing ≥4 days' absence from team training],restricted scope verified by title/definition; retain detailed outcome and do not label matching parent as all injury,matched,analysis master paper_title and time_loss_definition; equality deliberately not used as evidence
